Win Shares,Mins Played (per game),Player,Games,Year,Rank,Points(per game),WS/48,Box +/-,Value Overall Replacement Player,Team,College,Years,Mins Played (Total),Points (Total)
-0.1,11.9,Will Blalock,14,2006,60,1.8,-0.032,-5.7,-0.2,DET,Iowa State,1,166,25
33.1,29.2,P.J. Tucker,630,2006,35,7.4,0.086,0.9,13.4,TOR,Texas,9,18407,4663
0.5,8.6,Paul Davis,82,2006,34,2.6,0.035,-4.7,-0.5,LAC,Michigan State,4,702,217
5,11,Solomon Jones,281,2006,33,3,0.078,-2.9,-0.7,ATL,South Florida,8,3092,839
14.5,12.1,Steve Novak,467,2006,32,4.7,0.123,-0.9,1.6,HOU,Marquette,11,5657,2177
37.4,35.5,Brandon Roy,326,2006,6,18.8,0.155,3.2,15.2,MIN,Washington,6,11561,6136
23.5,25.6,Randy Foye,752,2006,7,10.3,0.058,-1.3,3.4,BOS,Villanova,11,19279,7729
56.2,33.4,Rudy Gay,923,2006,8,17.2,0.087,0.4,19,HOU,UConn,14,30852,15909
0.5,5.8,Patrick O'Bryant,90,2006,9,2.1,0.046,-3.1,-0.2,GSW,Bradley,4,524,186
62.1,26,J.J. Redick,880,2006,11,13,0.13,0,11.5,ORL,Duke,14,22881,11470
3.9,11.6,Hilton Armstrong,292,2006,12,3,0.055,-2.8,-0.7,NOK,UConn,6,3378,880
30.4,23,Ronnie Brewer,502,2006,14,7.8,0.127,1.7,10.7,UTA,Arkansas,8,11539,3940
0.1,9.4,Cedric Simmons,75,2006,15,2.2,0.005,-5.7,-0.7,NOK,NC State,3,705,163
6.2,15.4,Rodney Carney,299,2006,16,5.9,0.064,-2.7,-0.8,CHI,Memphis,5,4600,1778
6.7,17.1,Shawne Williams,314,2006,17,5.6,0.06,-2,0,IND,Memphis,7,5368,1769
111.3,34.4,LaMarcus Aldridge,993,2006,2,19.6,0.156,1.5,29.8,CHI,Texas,14,34190,19420
7.2,13.9,Renaldo Balkman,221,2006,20,4,0.113,0.9,2.2,NYK,South Carolina,6,3064,894
59.4,31.3,Rajon Rondo,857,2006,21,10.3,0.106,1.3,22.6,PHO,Kentucky,14,26791,8804
0,15.2,Marcus Williams,203,2006,22,5.6,-0.001,-4.6,-2,NJN,UConn,4,3095,1128
9.1,17.5,Josh Boone,256,2006,23,5.2,0.097,-1.9,0.1,NJN,UConn,4,4482,1340
91.5,31.5,Kyle Lowry,894,2006,24,14.7,0.156,3.8,41,MEM,Villanova,14,28178,13098
9.2,18,Shannon Brown,408,2006,25,7.6,0.06,-2.3,-0.6,CLE,Michigan State,9,7329,3118
13.9,19.5,Jordan Farmar,504,2006,26,7.7,0.068,-1.4,1.6,LAL,UCLA,10,9840,3888
-0.9,6.2,Maurice Ager,82,2006,28,2.1,-0.089,-10.4,-1.1,DAL,Michigan State,4,505,169
-1.6,14.7,Mardy Collins,189,2006,29,3.9,-0.027,-4.9,-2,NYK,Temple,4,2771,742
-1.4,20.4,Adam Morrison,161,2006,3,7.5,-0.021,-5.5,-2.9,CHA,Gonzaga,3,3278,1200
0,10.7,Quincy Douby,143,2006,19,4.1,0,-5.4,-1.3,SAC,Rutgers University,3,1535,588
9.9,15.5,Shelden Williams,361,2006,5,4.5,0.085,-2.8,-1.2,ATL,Duke,6,5586,1618
13,19.7,Tyrus Thomas,402,2006,4,7.7,0.078,-1.1,1.7,POR,LSU,8,7932,3093
33.5,27.3,Arron Afflalo,762,2007,27,10.8,0.077,-1.1,4.5,DET,UCLA,11,20829,8198
19.2,20.8,Aaron Brooks,645,2007,26,9.7,0.069,-1.8,0.8,HOU,Oregon,10,13439,6259
0,9.5,Morris Almond,38,2007,25,3.1,0.005,-6.4,-0.4,UTA,Rice University,3,361,119
28.8,30.2,Wilson Chandler,660,2007,23,12.7,0.069,-0.8,6.1,NYK,DePaul,12,19942,8383
42.8,22.7,Jared Dudley,880,2007,22,7.5,0.103,1,15.3,CHA,Boston College,13,19958,6617
4.9,18.3,Daequan Cook,328,2007,21,6.4,0.039,-3.6,-2.4,PHI,Ohio State,6,5993,2114
14.1,16.3,Jason Smith,616,2007,20,6.1,0.067,-2.7,-1.6,MIA,Colorado State,11,10029,3777
0.1,16.4,Javaris Crittenton,113,2007,19,5.3,0.002,-4.3,-1.1,LAL,Georgia Tech,2,1853,595
3,14.4,Sean Williams,137,2007,17,4.2,0.073,-2,0,NJN,Boston College,4,1978,581
18.6,22.8,Nick Young,720,2007,16,11.4,0.054,-3.4,-5.8,WAS,USC,12,16419,8194
28.7,27.5,Rodney Stuckey,651,2007,15,12.6,0.077,-1.4,2.7,DET,Eastern Washington,10,17890,8185
6.1,28,Al Thornton,296,2007,14,11.9,0.035,-3.5,-3.1,LAC,Florida State,4,8274,3527
3.9,13.2,Julian Wright,231,2007,13,3.9,0.061,-1.3,0.5,NOK,Kansas,4,3049,907
60.9,30.3,Thaddeus Young,951,2007,12,13.2,0.101,0.6,19.2,PHI,Georgia Tech,13,28855,12514
1.6,12.7,Acie Law,188,2007,11,3.9,0.032,-5.4,-2,ATL,Texas A&M,4,2385,725
22.6,22.7,Spencer Hawes,684,2007,10,8.7,0.07,-0.7,5,SAC,Washington,10,15541,5932
61.8,27.9,Joakim Noah,667,2007,9,8.8,0.16,4.1,28.4,CHI,Florida,12,18596,5867
26.2,16.2,Brandan Wright,428,2007,8,7,0.181,1.6,6.4,CHA,UNC,10,6949,2976
22.5,23,Corey Brewer,814,2007,7,8.7,0.058,-1,4.8,MIN,Florida,12,18738,7092
40.9,29.6,Jeff Green,890,2007,5,13,0.074,-1.3,4.3,BOS,Georgetown,12,26372,11553
72.3,32.4,Mike Conley,816,2007,4,14.8,0.131,1.9,25.7,MEM,Ohio State,13,26464,12085
89.7,32.7,Al Horford,830,2007,3,14,0.158,3.2,35.7,ATL,Florida,13,27155,11644
-0.2,8.2,D.J. Strawberry,33,2007,59,2.2,-0.031,-5.1,-0.2,PHO,Maryland,1,270,73
0.4,7.4,Gabe Pruitt,62,2007,32,2,0.043,-3.1,-0.1,BOS,USC,2,461,125
,,Sammy Mejia,,2007,57,,,,,DET,DePaul,,,
28.8,23.3,Ramon Sessions,691,2007,56,10.3,0.086,-1.9,0.5,MIL,Nevada,11,16119,7141
,,Herbert Hill,,2007,55,,,,,UTA,Providence,,,
-0.2,3.2,Demetris Nichols,18,2007,53,1.2,-0.203,-15.3,-0.2,POR,Syracuse,2,58,22
-0.1,4.4,Taurean Green,17,2007,52,1.6,-0.066,-8.2,-0.1,POR,Florida,1,74,27
0,0,JamesOn Curry,1,2007,51,0,,,0,CHI,Oklahoma State,1,0,0
6.2,12.1,Aaron Gray,318,2007,49,3.4,0.077,-1.8,0.2,CHI,Pitt,7,3851,1066
4.1,15.6,Dominic McGuire,342,2007,47,2.7,0.037,-1.6,0.6,WAS,Fresno State,6,5348,939
0.3,18.9,Stéphane Lasme,16,2007,46,5.2,0.041,-2.8,-0.1,GSW,UMass,1,303,83
,,Reyshawn Terry,,2007,44,,,,,ORL,UNC,,,
,,Adam Haluska,,2007,43,,,,,NOK,Iowa,,,
0.1,18.5,Derrick Byars,2,2007,42,5,0.147,0.6,0,POR,Vanderbilt,1,37,10
0.7,11.1,Chris Richard,70,2007,41,1.9,0.045,-3.5,-0.3,MIN,Florida,2,780,135
18.5,19.1,Josh McRoberts,433,2007,37,5.4,0.107,1,6.2,POR,Duke,11,8271,2333
0,8.3,Jermareo Davidson,52,2007,36,3.1,0,-7.6,-0.6,GSW,Alabama,2,433,162
18.6,21.1,Glen Davis,514,2007,35,8,0.082,-2.3,-0.8,SEA,LSU,8,10865,4111
0.8,10.3,Nick Fazekas,26,2007,34,4.1,0.148,-0.1,0.1,DAL,Nevada,1,269,107
-0.1,3,Marcus Williams,13,2007,33,1.1,-0.084,-7.5,-0.1,SAS,Arizona,2,39,14
,,Jared Jordan,,2007,45,,,,,LAC,Marist College,,,
35.9,22.5,Carl Landry,513,2007,31,10.8,0.149,-1.1,2.6,SEA,Purdue,9,11524,5541
0.4,8.4,Alando Tucker,51,2007,29,4.1,0.045,-6.7,-0.5,PHO,Wisconsin,3,426,211
7.3,19.3,Greg Oden,105,2007,1,8,0.174,1.1,1.6,POR,Ohio State,3,2028,840
141.7,36.9,Kevin Durant,849,2007,2,27,0.217,5.1,55.7,SEA,Texas,12,31305,22940
21.8,30.9,O.J. Mayo,547,2008,3,13.8,0.062,-0.8,5.1,MIN,USC,8,16919,7574
1.5,16.8,Donté Greene,253,2008,28,6.1,0.017,-3.8,-2,MEM,Syracuse,4,4259,1541
12.3,17.8,Darrell Arthur,503,2008,27,6.5,0.066,-1.9,0.3,NOH,Kansas,9,8945,3282
64.3,27.8,George Hill,770,2008,26,11.2,0.144,1.7,20.2,SAS,IUPUI,12,21399,8592
28.3,16.4,Kosta Koufos,686,2008,23,5.7,0.12,-0.9,3.3,UTA,Ohio State,11,11271,3913
38.8,27.2,Courtney Lee,797,2008,22,9.6,0.086,-0.2,9.8,ORL,Western Kentucky,12,21673,7691
46.7,25.8,Ryan Anderson,649,2008,21,12.3,0.134,0.6,11,NJN,California,12,16769,8001
21.9,22.3,J.J. Hickson,534,2008,19,9.5,0.088,-2.3,-0.9,CLE,NC State,8,11925,5081
35.5,17.4,JaVale McGee,678,2008,18,8,0.145,0.2,6.5,WAS,Nevada,12,11765,5400
35.9,24.8,Roy Hibbert,662,2008,17,10,0.105,0.2,9.1,TOR,Georgetown,9,16389,6611
25.8,15.1,Marreese Speights,705,2008,16,7.9,0.116,-2.8,-2.2,PHI,Florida,10,10640,5592
3.8,15.3,D.J. White,138,2008,29,5.9,0.087,-3.4,-0.7,DET,Indiana,6,2111,810
5.8,15.2,Anthony Randolph,252,2008,14,7.1,0.072,-2.1,-0.1,GSW,LSU,6,3841,1789
11.2,22,Brandon Rush,481,2008,13,6.8,0.051,-1.7,0.7,POR,Kansas,9,10564,3250
23.8,25.2,Jason Thompson,588,2008,12,8.9,0.077,-1.7,1.3,SAC,Rider University,8,14819,5210
18.6,21.3,Jerryd Bayless,586,2008,11,8.4,0.072,-2,0,IND,Arizona,11,12486,4909
63.4,30.7,Brook Lopez,763,2008,10,16.9,0.13,1.1,18.5,NJN,Stanford,12,23386,12878
44.3,24.2,D.J. Augustin,846,2008,9,9.9,0.104,-1.5,2.7,CHA,Texas,12,20432,8345
0.5,11.1,Joe Alexander,67,2008,8,4.2,0.03,-3.3,-0.2,MIL,West Virginia,2,745,282
34.4,32.9,Eric Gordon,653,2008,7,16.7,0.077,-1,5.4,LAC,Indiana,12,21503,10880
80.8,31.9,Kevin Love,699,2008,5,18.2,0.174,2.6,25.7,MEM,UCLA,12,22332,12741
100.2,34.6,Russell Westbrook,862,2008,4,23.1,0.161,6.4,63.1,SEA,UCLA,12,29803,19944
15.6,22.8,Michael Beasley,609,2008,2,12.4,0.054,-3.2,-4.3,MIA,Kansas State,11,13903,7568
44.2,22.6,Robin Lopez,810,2008,15,8.9,0.116,0,9.3,PHO,Stanford,12,18274,7191
-0.1,2.5,Walter Sharpe,8,2008,32,1,-0.131,-16.5,-0.1,SEA,University of Alabama at Birmingham,1,20,8
,,Deron Washington,,2008,59,,,,,DET,Virginia Tech,,,
0,11.5,Joe Crawford,2,2008,58,4.5,0.037,-5.6,0,LAL,Kentucky,1,23,9
,,James Gist,,2008,57,,,,,SAS,Maryland,,,
0.2,3.8,Sasha Kaun,25,2008,56,0.9,0.096,-0.8,0,SEA,Kansas,1,95,23
-0.4,15.1,Mike Taylor,51,2008,55,5.7,-0.028,-5.5,-0.7,POR,Iowa State,1,771,289
,,Maarty Leunen,,2008,54,,,,,HOU,Oregon,,,
1.3,7.5,Darnell Jackson,138,2008,52,2.2,0.059,-4.9,-0.7,MIA,Kansas,3,1039,308
,,Shan Foster,,2008,51,,,,,DAL,Vanderbilt,,,
,,DeVon Hardin,,2008,50,,,,,SEA,California,,,
,,Richard Hendrix,,2008,49,,,,,GSW,Alabama,,,
0.8,7.6,Malik Hairston,62,2008,48,2.4,0.086,-1.9,0,PHO,Oregon,2,472,149
5,16.7,Henry Walker,181,2008,47,6,0.079,-1.3,0.5,WAS,Kansas State,5,3016,1079
,,Trent Plaisted,,2008,46,,,,,SEA,Brigham Young University Hawaii,,,
-0.1,2.7,Patrick Ewing,7,2008,43,0.4,-0.158,-9.3,0,SAC,Georgetown,1,19,3
0,8.2,Sean Singletary,37,2008,42,2.4,0.006,-4.9,-0.2,SAC,Virginia,1,303,90
5.4,19.7,Chris Douglas-Roberts,222,2008,40,7.1,0.059,-2.9,-1,NJN,Memphis,6,4381,1571
0,18.2,Sonny Weems,183,2008,39,6.5,0.001,-4.2,-1.9,CHI,Arkansas,4,3335,1189
1.5,18.9,Kyle Weaver,73,2008,38,5,0.051,-1.3,0.3,CHA,Washington State,3,1379,363
26,23.3,Luc Mbah a Moute,686,2008,37,6.4,0.078,-0.8,4.9,MIL,UCLA,11,16013,4375
86.9,27.9,DeAndre Jordan,858,2008,35,9.5,0.175,2.2,25.4,LAC,Texas A&M,12,23906,8141
32.3,26.7,Mario Chalmers,646,2008,34,8.9,0.09,0.3,9.8,MIN,Kansas,9,17245,5743
2.9,11.4,Joey Dorsey,130,2008,33,2.6,0.092,-1.3,0.3,POR,Memphis,4,1488,344
0.1,6.5,J.R. Giddens,38,2008,30,1.9,0.027,-4.6,-0.2,BOS,New Mexico,2,247,73
40.1,32.7,Derrick Rose,589,2008,1,18.8,0.1,0.3,11.3,CHI,Memphis,11,19254,11094
,,Robert Dozier,,2009,60,,,,,MIA,Memphis,,,
51.4,25.3,Taj Gibson,783,2009,26,9.6,0.124,0.1,10.3,CHI,USC,11,19828,7486
0.6,18.2,Byron Mullens,189,2009,24,7.4,0.008,-4.6,-2.3,DAL,Ohio State,5,3446,1398
49.9,29.4,Darren Collison,708,2009,21,12.5,0.115,0.1,11.1,NOH,UCLA,10,20796,8857
3.3,14.6,Eric Maynor,267,2009,20,4.3,0.041,-4.7,-2.7,UTA,Virginia Commonwealth,5,3896,1141
50.5,27.7,Jeff Teague,753,2009,19,12.7,0.116,-0.1,9.7,ATL,Wake Forest,11,20836,9539
42.1,29.2,Ty Lawson,551,2009,18,12.7,0.126,0.7,10.9,MIN,UNC,8,16088,6977
41.5,33.2,Jrue Holiday,692,2009,17,15.8,0.087,1.3,19.2,PHI,UCLA,11,22997,10946
23.9,20.6,James Johnson,619,2009,16,7.9,0.09,1,9.7,CHI,Wake Forest,11,12728,4883
4.5,14.1,Austin Daye,293,2009,15,5.2,0.053,-2.6,-0.6,DET,Gonzaga,6,4132,1522
29.2,23.8,DeMarre Carroll,569,2009,27,9,0.104,0.6,8.9,MEM,Missouri,11,13520,5096
2.9,13.9,Earl Clark,261,2009,14,4.4,0.038,-3.6,-1.5,PHO,Louisville,6,3630,1138
18.3,25.9,Gerald Henderson,535,2009,12,11.2,0.063,-2.2,-0.9,CHA,Duke,8,13854,5987
-0.2,19.1,Terrence Williams,153,2009,11,7.1,-0.004,-3.8,-1.4,NJN,Louisville,4,2922,1085
65.6,34.2,DeMar DeRozan,799,2009,9,20,0.115,-0.3,11.5,TOR,USC,11,27291,16014
16.4,18.8,Jordan Hill,409,2009,8,7.9,0.102,-2,0,NYK,Arizona,8,7692,3232
103.1,34.3,Stephen Curry,698,2009,7,23.5,0.206,6.5,51.2,GSW,Davidson,11,23971,16396
-1.1,22.9,Jonny Flynn,163,2009,6,9.2,-0.015,-4.9,-2.7,MIN,Syracuse,3,3738,1504
28.4,30.7,Tyreke Evans,594,2009,4,15.7,0.075,0.7,12.6,SAC,Memphis,10,18242,9347
130.6,34.3,James Harden,810,2009,3,25,0.226,7.2,64.5,OKC,Arizona State,11,27775,20231
4.8,10.5,Hasheem Thabeet,224,2009,2,2.2,0.099,-1.4,0.4,MEM,UConn,5,2357,483
75.3,34.8,Blake Griffin,622,2009,1,21.7,0.167,3.8,32,LAC,Oklahoma,10,21671,13479
20.2,16.9,Tyler Hansbrough,428,2009,13,6.7,0.134,-2.5,-1,IND,UNC,7,7233,2881
17.7,21,Wayne Ellington,669,2009,28,8,0.06,-2.1,-0.3,MIN,UNC,11,14058,5373
12.1,19.1,Toney Douglas,394,2009,29,7.6,0.077,-0.6,2.6,LAL,Florida State,8,7511,3009
,,Ahmad Nivins,,2009,56,,,,,DAL,Saint Joseph's,,,
29.6,19.3,Patty Mills,652,2009,55,8.7,0.113,0.4,7.6,POR,Saint Mary's,11,12596,5648
,,Robert Vaden,,2009,54,,,,,CHA,University of Alabama at Birmingham,,,
4.7,15.1,A.J. Price,261,2009,52,5.8,0.058,-2.4,-0.4,IND,UConn,6,3929,1523
,,Jack McClinton,,2009,51,,,,,SAS,Miami (FL),,,
,,Goran Suton,,2009,50,,,,,UTA,Michigan State,,,
0,4,Taylor Griffin,8,2009,48,1.3,-0.039,-7.3,0,PHO,Oklahoma,1,32,10
41.8,25.4,Danny Green,666,2009,46,9,0.119,2.9,20.9,CLE,UNC,11,16920,5978
2.6,15.6,Nick Calathes,129,2009,45,4.6,0.063,-0.7,0.6,MIN,Florida,2,2011,590
13.9,19.7,Chase Budinger,407,2009,44,7.9,0.083,-1.4,1.2,DET,Arizona,7,7998,3198
20,23.4,Marcus Thornton,483,2009,43,11.9,0.085,-0.8,3.4,MIA,LSU,8,11299,5750
27.7,28.3,Patrick Beverley,417,2009,42,9,0.113,2.1,12.3,LAL,Arkansas,8,11806,3747
24.3,22.5,Jodie Meeks,539,2009,41,9.3,0.096,-0.6,4.2,MIL,Kentucky,10,12110,4988
4.5,14.9,Derrick Brown,171,2009,40,5.2,0.085,-1.6,0.2,CHA,Xavier,3,2554,895
3.7,10.5,Jon Brockman,150,2009,38,2.1,0.113,-2.1,0,POR,Washington,3,1570,320
19,16.6,DeJuan Blair,424,2009,37,6.8,0.129,0.4,4.2,SAS,Pitt,7,7054,2865
5.2,15.9,Sam Young,249,2009,36,5.8,0.063,-2.9,-0.9,MEM,Pitt,4,3966,1436
-0.1,9.9,DaJuan Summers,83,2009,35,3.3,-0.008,-6.4,-0.9,DET,Georgetown,4,820,278
24.9,20.8,Dante Cunningham,715,2009,33,5.8,0.08,-1,3.7,POR,Villanova,10,14875,4133
0.2,12.1,Jermaine Taylor,65,2009,32,5.4,0.014,-4.6,-0.5,WAS,Central Florida,2,786,351
6.3,9.8,Jeff Ayres,237,2009,31,2.9,0.131,-1.4,0.4,SAC,Arizona State,6,2322,690
,,Chinemelu Elonu,,2009,59,,,,,LAL,Texas A&M,,,
0.2,10.4,Lester Hudson,57,2009,58,4.7,0.016,-2.7,-0.1,BOS,University of Tennessee at Martin,4,594,268
52.1,25.7,Derrick Favors,662,2010,3,11.5,0.147,1.5,15,NJN,Georgia Tech,10,16992,7615
,,Dwayne Collins,,2010,60,,,,,PHO,Miami (FL),,,
0.2,8.2,Lazar Hayward,72,2010,30,2.9,0.02,-4.6,-0.4,WAS,Marquette,3,591,207
1,10.6,Daniel Orton,51,2010,29,2.8,0.093,-1.7,0,ORL,Kentucky,3,542,143
12.6,23.7,Greivis Vásquez,401,2010,28,9,0.064,-1.5,1.1,MEM,Maryland,7,9520,3591
6.3,24.4,Jordan Crawford,281,2010,27,12.2,0.044,-2.1,-0.2,NJN,Xavier,6,6843,3432
9.7,15.6,Quincy Pondexter,355,2010,26,4.5,0.084,-1.2,1.1,OKC,Washington,7,5530,1609
0.3,9.3,Dominique Jones,80,2010,25,3.1,0.017,-3.6,-0.3,MEM,South Florida,3,741,246
0,16,Damion James,39,2010,24,3.8,-0.001,-4.3,-0.4,ATL,Texas,4,623,150
26.2,20.4,Trevor Booker,532,2010,23,6.9,0.116,0.2,6,MIN,Clemson,8,10872,3679
0.7,13.5,Elliot Williams,109,2010,22,4.9,0.024,-5.3,-1.2,POR,Memphis,4,1470,537
-0.2,7.1,Craig Brackins,17,2010,21,1.8,-0.089,-9.1,-0.2,OKC,Iowa State,2,121,30
3.3,17.5,James Anderson,247,2010,20,5.8,0.037,-2.8,-0.9,SAS,Oklahoma State,5,4320,1422
15.1,28.3,Avery Bradley,555,2010,19,11.8,0.046,-1.9,0.3,BOS,Texas,10,15717,6536
41.1,27.8,Eric Bledsoe,610,2010,18,14.2,0.116,2.2,17.9,OKC,Kentucky,10,16961,8652
7.2,14,Luke Babbitt,381,2010,16,4.8,0.065,-2.8,-1,MIN,Nevada,8,5332,1818
10.3,19.5,Larry Sanders,238,2010,15,6.4,0.107,0.6,3,MIL,Virginia Commonwealth,6,4635,1520
30.2,21.3,Patrick Patterson,665,2010,14,6.8,0.102,0.2,7.9,HOU,Kentucky,10,14133,4509
41.7,19.9,Ed Davis,664,2010,13,6.3,0.151,0.9,9.6,TOR,UNC,10,13208,4193
0.8,15.7,Xavier Henry,185,2010,12,5.7,0.013,-5.1,-2.3,MEM,Kansas,5,2905,1050
9.6,10,Cole Aldrich,339,2010,11,3.1,0.135,1,2.6,NOH,Kansas,8,3389,1050
67.6,33.7,Paul George,631,2010,10,20,0.153,3.8,31.1,IND,Fresno State,10,21243,12601
51.5,30.7,Gordon Hayward,620,2010,9,15.2,0.13,1.9,18.7,UTA,Butler,10,19038,9438
27.5,25.1,Al-Farouq Aminu,688,2010,8,7.6,0.077,-0.1,8.5,LAC,Wake Forest,10,17264,5248
49.7,27.7,Greg Monroe,632,2010,7,13.2,0.136,1.9,17.2,DET,Georgetown,9,17475,8326
10.4,14.8,Ekpe Udoh,384,2010,6,3.5,0.088,0.2,3.2,GSW,Baylor,7,5694,1353
44.1,32,DeMarcus Cousins,565,2010,5,21.2,0.117,2.9,22.5,SAC,Kentucky,9,18078,12006
44.3,35.9,John Wall,573,2010,1,19,0.104,2.3,22.1,WAS,Kentucky,9,20545,10879
0.5,6.9,Dexter Pittman,50,2010,32,2.3,0.068,-6,-0.4,MIA,Texas,4,347,116
42.9,26.6,Hassan Whiteside,388,2010,33,13.7,0.2,0.8,7.4,SAC,Marshall,8,10309,5300
,,Stanley Robinson,,2010,59,,,,,ORL,UConn,,,
0.3,5.2,Derrick Caracter,41,2010,58,2,0.057,-4.9,-0.2,LAL,Texas-El Paso,1,215,81
0.1,3.4,Ryan Reid,5,2010,57,1.6,0.142,-5.5,0,IND,Florida State,1,17,8
0,4.8,Hamady N'Diaye,33,2010,56,0.6,0.013,-4.9,-0.1,MIN,Rutgers University,3,157,20
8.2,10.5,Jeremy Evans,250,2010,55,3.5,0.15,1,2,UTA,Western Kentucky,7,2626,879
0.2,7.1,Willie Warren,19,2010,54,1.9,0.065,-4.5,-0.1,LAC,Oklahoma,1,134,37
0.9,12.4,Luke Harangody,70,2010,52,3.6,0.048,-3.3,-0.3,BOS,Notre Dame,2,871,253
,,Magnum Rolle,,2010,51,,,,,OKC,Louisiana Tech,,,
0,7,Solomon Alabi,26,2010,50,1.5,0.01,-5.4,-0.2,DAL,Florida State,2,181,39
20.2,26.9,Evan Turner,704,2010,2,9.7,0.051,-2,-0.2,PHI,Ohio State,10,18917,6822
,,Tiny Gallon,,2010,47,,,,,MIL,Oklahoma,,,
1.7,7.6,Jerome Jordan,65,2010,44,2.8,0.168,0,0.2,MIL,Tulsa,2,491,180
0.5,11.3,Devin Ebanks,63,2010,43,3.6,0.035,-4.7,-0.5,LAL,West Virginia,3,711,224
,,Da'Sean Butler,,2010,42,,,,,MIA,West Virginia,,,
0.7,10.7,Jarvis Varnado,37,2010,41,2.9,0.089,-1.9,0,MIA,Mississippi State,2,397,107
16.7,23.4,Lance Stephenson,508,2010,40,8.6,0.068,-0.8,3.6,IND,Cincinnati,9,11866,4354
10.5,23.6,Landry Fields,255,2010,39,6.8,0.084,-0.1,2.8,NYK,Stanford,5,6010,1731
-0.2,4.8,Andy Rautins,5,2010,38,1.6,-0.314,-16,-0.1,NYK,Syracuse,1,24,8
-0.2,7.8,Darington Hobson,5,2010,37,0.8,-0.225,-14.1,-0.1,MIL,New Mexico,1,39,4
,,Terrico White,,2010,36,,,,,DET,Ole Miss,,,
-0.1,8.5,Armon Johnson,47,2010,34,3.3,-0.015,-6.2,-0.4,POR,Nevada,2,401,157
0,2,Gani Lawal,1,2010,46,0,-0.009,-4.9,0,PHO,Georgia Tech,1,2,0
10.7,22.1,Wesley Johnson,609,2010,4,7,0.038,-1.2,2.9,MIN,Syracuse,9,13472,4235
14.1,20.7,Derrick Williams,428,2011,2,8.9,0.076,-3.2,-2.6,MIN,Arizona,7,8864,3809
-0.1,5,Tyler Honeycutt,24,2011,35,1.2,-0.049,-6.4,-0.1,SAC,UCLA,2,120,28
1.3,14.8,Jordan Williams,43,2011,36,4.6,0.101,-3.1,-0.2,NJN,Maryland,1,635,197
0,5,Trey Thompkins,24,2011,37,2.4,0.004,-8.9,-0.2,LAC,Georgia,1,119,57
29,30.1,Chandler Parsons,440,2011,38,12.7,0.105,1.6,11.9,HOU,Florida,9,13246,5571
13.2,15.8,Jon Leuer,377,2011,40,6.4,0.107,-1.4,0.9,MIL,Wisconsin,8,5945,2395
-0.3,11.1,Darius Morris,132,2011,41,3.3,-0.01,-5.6,-1.3,LAL,Michigan,4,1464,430
0.4,14.8,Malcolm Lee,36,2011,43,3.9,0.04,-2,0,CHI,UCLA,3,534,140
0.5,12.1,Charles Jenkins,110,2011,44,3.7,0.017,-5.9,-1.3,GSW,Hofstra,2,1334,408
2.1,11.8,Josh Harrellson,75,2011,45,3.5,0.116,-0.7,0.3,NOH,Kentucky,3,888,265
0.1,4.5,Travis Leslie,10,2011,47,1.4,0.06,-0.2,0,LAC,Georgia,1,45,14
10.3,18.4,Shelvin Mack,456,2011,34,6.6,0.059,-2.7,-1.5,WAS,Butler,8,8392,2997
0,3,Keith Benson,3,2011,48,0,-0.005,-10.4,0,ATL,Oakland,1,9,0
13.8,17.8,Lavoy Allen,388,2011,50,4.8,0.096,-1.2,1.3,PHI,Temple,6,6905,1847
,,Jon Diebler,,2011,51,,,,,POR,Ohio State,,,
0.5,5.9,Vernon Macklin,23,2011,52,2,0.161,-0.6,0,DET,Florida,1,135,46
1.6,10.8,DeAndre Liggins,177,2011,53,2,0.04,-2,0,ORL,Kentucky,5,1907,346
14.2,21.6,E'Twaun Moore,551,2011,55,8.2,0.057,-1.8,0.4,BOS,Purdue,9,11894,4502
45.4,28.9,Isaiah Thomas,523,2011,60,18.1,0.144,1.4,13.1,SAC,Washington,9,15135,9487
61.4,33.8,Kyrie Irving,527,2011,1,22.4,0.166,3.9,26.5,CLE,Duke,9,17798,11831
-0.7,7.8,Josh Selby,38,2011,49,2.2,-0.113,-10.1,-0.6,MEM,Kansas,2,296,83
10,21.9,Kyle Singler,356,2011,33,6.5,0.062,-1.6,0.7,DET,Duke,6,7794,2326
0,9.7,Andrew Goudelock,49,2011,46,4,0.003,-6.5,-0.5,LAL,College of Charleston,3,475,197
42.5,28.1,Tristan Thompson,609,2011,4,9.4,0.119,-0.5,6.4,CLE,Texas,9,17111,5720
-0.3,6.8,Justin Harper,22,2011,32,2,-0.093,-8.4,-0.2,CLE,Richmond,3,150,45
11.3,29.6,Brandon Knight,437,2011,8,14.1,0.042,-1.6,1.5,DET,Kentucky,8,12916,6165
53.8,33.9,Kemba Walker,647,2011,9,20,0.118,2.6,25.4,CHA,UConn,9,21954,12935
2.2,13.3,Jimmer Fredette,241,2011,10,6,0.033,-4.2,-1.8,MIL,BYU,6,3213,1438
46.8,33.1,Klay Thompson,615,2011,11,19.5,0.11,0.2,11.3,GSW,Washington State,8,20340,11995
24.7,25.7,Markieff Morris,621,2011,13,11.6,0.074,-0.9,4.4,PHO,Kansas,9,15986,7188
29.5,26.9,Marcus Morris,586,2011,14,12.1,0.09,-0.7,5.3,HOU,Kansas,9,15770,7080
70.9,31,Kawhi Leonard,503,2011,15,18.4,0.219,6.2,32.2,IND,San Diego State,9,15572,9237
